ID,Distance,Layer,Condition,Method
88,0.5677254961776821,conv1,WTs_CIFAR,NNSTD
88,0.7709372395233447,conv2,WTs_CIFAR,NNSTD
88,0.9458903601131063,dense1,WTs_CIFAR,NNSTD
88,0.8489959792204951,dense2,WTs_CIFAR,NNSTD
88,0.9472670672084134,dense3,WTs_CIFAR,NNSTD
89,0.5887091354396163,conv1,WTs_CIFAR,NNSTD
89,0.7681098065454073,conv2,WTs_CIFAR,NNSTD
89,0.945424707164132,dense1,WTs_CIFAR,NNSTD
89,0.8474745330616354,dense2,WTs_CIFAR,NNSTD
89,0.9449408226212388,dense3,WTs_CIFAR,NNSTD
90,0.5729322033664864,conv1,WTs_CIFAR,NNSTD
90,0.7688894338170155,conv2,WTs_CIFAR,NNSTD
90,0.9455222810890996,dense1,WTs_CIFAR,NNSTD
90,0.8493593824801013,dense2,WTs_CIFAR,NNSTD
90,0.9337382044749699,dense3,WTs_CIFAR,NNSTD
91,0.572933842097445,conv1,mixed_CIFAR,NNSTD
91,0.7684663791601994,conv2,mixed_CIFAR,NNSTD
91,0.9470042896125058,dense1,mixed_CIFAR,NNSTD
91,0.8491122069593213,dense2,mixed_CIFAR,NNSTD
91,0.95428500522039,dense3,mixed_CIFAR,NNSTD
92,0.5783951495808114,conv1,mixed_CIFAR,NNSTD
92,0.7692722338062268,conv2,mixed_CIFAR,NNSTD
92,0.9469720035810305,dense1,mixed_CIFAR,NNSTD
92,0.8494644776902801,dense2,mixed_CIFAR,NNSTD
92,0.9482498215104707,dense3,mixed_CIFAR,NNSTD
93,0.5767987060024599,conv1,mixed_CIFAR,NNSTD
