ID,Distance,Layer,Type,Method
38,0.9696705663503284,dense1,random,SaSD
38,0.8964432502934626,dense2,random,SaSD
38,0.9904101995565409,dense3,random,SaSD
39,0.712183917894541,conv1,random,SaSD
39,0.8717572902341175,conv2,random,SaSD
39,0.9696104195099564,dense1,random,SaSD
39,0.8941238957346823,dense2,random,SaSD
39,0.9647305207579564,dense3,random,SaSD
40,0.7049186936939694,conv1,random,SaSD
40,0.8697518750958193,conv2,random,SaSD
40,0.9697089804596284,dense1,random,SaSD
40,0.8940624976304994,dense2,random,SaSD
40,0.9760375627370959,dense3,random,SaSD
41,0.7003389188936064,conv1,random,SaSD
41,0.870831623585453,conv2,random,SaSD
41,0.969498964297735,dense1,random,SaSD
41,0.8946469740769237,dense2,random,SaSD
41,0.9758840623991558,dense3,random,SaSD
42,0.7038527342755283,conv1,random,SaSD
42,0.8718474903146209,conv2,random,SaSD
42,0.9696581410124131,dense1,random,SaSD
42,0.893876452612542,dense2,random,SaSD
42,0.9794332620948841,dense3,random,SaSD
43,0.7046109034396331,conv1,random,SaSD
43,0.8716383588208196,conv2,random,SaSD
43,0.9695826044643872,dense1,random,SaSD
43,0.8933459210857255,dense2,random,SaSD
43,0.9763545464758809,dense3,random,SaSD
44,0.7192927209126658,conv1,random,SaSD
44,0.8713402695714247,conv2,random,SaSD
44,0.9696449531357099,dense1,random,SaSD
44,0.8935555252832218,dense2,random,SaSD
44,0.9853723851118282,dense3,random,SaSD
45,0.7004024991042455,conv1,random,SaSD
45,0.8709296365677819,conv2,random,SaSD
45,0.969619245696692,dense1,random,SaSD
45,0.8944318790041201,dense2,random,SaSD
45,0.9869984779673947,dense3,random,SaSD
46,0.714895864195037,conv1,random,SaSD
46,0.8699123732242748,conv2,random,SaSD
46,0.9696329958079961,dense1,random,SaSD
46,0.8939052437747603,dense2,random,SaSD
46,0.9792629330725833,dense3,random,SaSD
47,0.6927796322587586,conv1,random,SaSD
47,0.871590067301685,conv2,random,SaSD
47,0.9696900377739469,dense1,random,SaSD
47,0.8938297138257887,dense2,random,SaSD
47,0.9571883753501401,dense3,random,SaSD
48,0.7118854476330773,conv1,random,SaSD
48,0.8706598527902214,conv2,random,SaSD
48,0.9694948552963971,dense1,random,SaSD
48,0.8934844715692296,dense2,random,SaSD
48,0.9837940013950244,dense3,random,SaSD
49,0.7075993190568461,conv1,random,SaSD
49,0.8699318299038286,conv2,random,SaSD
49,0.9696019488445062,dense1,random,SaSD
49,0.8940717009158159,dense2,random,SaSD
49,0.9822515813342882,dense3,random,SaSD
50,0.7014131709014884,conv1,random,SaSD
50,0.8716392324003457,conv2,random,SaSD
50,0.9696885890823024,dense1,random,SaSD
50,0.8949502172851376,dense2,random,SaSD
50,0.9835760062057716,dense3,random,SaSD
51,0.7047852204501295,conv1,random,SaSD
51,0.8706056093728727,conv2,random,SaSD
51,0.9696540847675021,dense1,random,SaSD
51,0.8945497495185779,dense2,random,SaSD
