ID,Distance,Layer,Type,Method
72,0.9705450769139656,dense1,mixed,SaSD
72,0.8959045995577344,dense2,mixed,SaSD
72,0.9631229314444683,dense3,mixed,SaSD
73,0.7137675499058046,conv1,mixed,SaSD
73,0.8744954441324453,conv2,mixed,SaSD
73,0.9704992288607142,dense1,mixed,SaSD
73,0.8949025421733643,dense2,mixed,SaSD
73,0.9708914883359843,dense3,mixed,SaSD
74,0.7217662342414422,conv1,mixed,SaSD
74,0.8716985607014529,conv2,mixed,SaSD
74,0.9705760609220081,dense1,mixed,SaSD
74,0.895040882091376,dense2,mixed,SaSD
74,0.9755582025859961,dense3,mixed,SaSD
75,0.7317912254154514,conv1,mixed,SaSD
75,0.8719819831347793,conv2,mixed,SaSD
75,0.9704354500936159,dense1,mixed,SaSD
75,0.8953103669599918,dense2,mixed,SaSD
75,0.9715905494314552,dense3,mixed,SaSD
76,0.7231448417799522,conv1,mixed,SaSD
76,0.8726962400174528,conv2,mixed,SaSD
76,0.9707755916647348,dense1,mixed,SaSD
76,0.8957161900591732,dense2,mixed,SaSD
76,0.9849649263781501,dense3,mixed,SaSD
77,0.7094782676366462,conv1,mixed,SaSD
77,0.8712630764799243,conv2,mixed,SaSD
77,0.9705845147905886,dense1,mixed,SaSD
77,0.8962743263404591,dense2,mixed,SaSD
77,0.9856324898654808,dense3,mixed,SaSD
78,0.722559740861671,conv1,mixed,SaSD
78,0.8731932906008386,conv2,mixed,SaSD
78,0.9706836244754238,dense1,mixed,SaSD
78,0.8948937961905096,dense2,mixed,SaSD
78,0.9830107244856328,dense3,mixed,SaSD
79,0.7269459704946112,conv1,mixed,SaSD
79,0.8716298028302165,conv2,mixed,SaSD
79,0.9705391610365813,dense1,mixed,SaSD
79,0.8962038082634662,dense2,mixed,SaSD
79,0.9781742487183402,dense3,mixed,SaSD
80,0.7187145638777073,conv1,mixed,SaSD
80,0.871316115793993,conv2,mixed,SaSD
80,0.9706971037012331,dense1,mixed,SaSD
80,0.8944990677580492,dense2,mixed,SaSD
80,0.9741693558117897,dense3,mixed,SaSD
81,0.7049042641359543,conv1,mixed,SaSD
81,0.8735755228905823,conv2,mixed,SaSD
81,0.9704469550642133,dense1,mixed,SaSD
81,0.8938116310406302,dense2,mixed,SaSD
81,0.983288334472545,dense3,mixed,SaSD
82,0.7252587714250833,conv1,mixed,SaSD
82,0.8727358154094788,conv2,mixed,SaSD
82,0.9704139342264612,dense1,mixed,SaSD
82,0.8965534923122754,dense2,mixed,SaSD
82,0.9809962376488279,dense3,mixed,SaSD
83,0.7313537843923148,conv1,mixed,SaSD
83,0.8714698074882676,conv2,mixed,SaSD
83,0.9703947976367189,dense1,mixed,SaSD
83,0.8957515052245709,dense2,mixed,SaSD
83,0.9759288857844899,dense3,mixed,SaSD
84,0.72399053421209,conv1,mixed,SaSD
84,0.8717163565960934,conv2,mixed,SaSD
84,0.9703589978296292,dense1,mixed,SaSD
84,0.895414366213068,dense2,mixed,SaSD
84,0.9785912110482948,dense3,mixed,SaSD
85,0.723677684396894,conv1,mixed,SaSD
85,0.8727706720328683,conv2,mixed,SaSD
85,0.9705266943781794,dense1,mixed,SaSD
85,0.895272195853053,dense2,mixed,SaSD
85,0.9876061901061901,dense3,mixed,SaSD
86,0.7180842345890479,conv1,mixed,SaSD
86,0.8742587140139297,conv2,mixed,SaSD
86,0.9705021051626801,dense1,mixed,SaSD
86,0.8943063155735647,dense2,mixed,SaSD
86,0.9651524516336568,dense3,mixed,SaSD
87,0.7223453589431724,conv1,mixed,SaSD
87,0.8722088699343742,conv2,mixed,SaSD
87,0.9704425567477244,dense1,mixed,SaSD
87,0.8954229111413265,dense2,mixed,SaSD
87,0.9699565630525866,dense3,mixed,SaSD
88,0.7255786772137391,conv1,mixed,SaSD
88,0.8729308418961009,conv2,mixed,SaSD
88,0.9703191735529415,dense1,mixed,SaSD
88,0.8951672825179476,dense2,mixed,SaSD
88,0.9738519813519814,dense3,mixed,SaSD
89,0.7100825989268085,conv1,mixed,SaSD
89,0.8723554939749867,conv2,mixed,SaSD
89,0.9706288994749932,dense1,mixed,SaSD
89,0.8955227188530597,dense2,mixed,SaSD
89,0.9730781653622547,dense3,mixed,SaSD
90,0.7207474173841725,conv1,mixed,SaSD
90,0.8720940278424599,conv2,mixed,SaSD
90,0.9706203274722985,dense1,mixed,SaSD
90,0.8946856602109831,dense2,mixed,SaSD
90,0.980557322964534,dense3,mixed,SaSD
91,0.5455765359028226,conv1,WT,NNSTD
91,0.7566526943135223,conv2,WT,NNSTD
91,0.9447206557396888,dense1,WT,NNSTD
91,0.8440025515518165,dense2,WT,NNSTD
91,0.9416441270517544,dense3,WT,NNSTD
92,0.5572025987696944,conv1,WT,NNSTD
92,0.7625032659278658,conv2,WT,NNSTD
92,0.9451817324458776,dense1,WT,NNSTD
92,0.8485116106331927,dense2,WT,NNSTD
92,0.9367762426991069,dense3,WT,NNSTD
93,0.5792066045168067,conv1,WT,NNSTD
93,0.7582857637377679,conv2,WT,NNSTD
93,0.9461981008885819,dense1,WT,NNSTD
93,0.8485582415373956,dense2,WT,NNSTD
93,0.9446932699046593,dense3,WT,NNSTD
94,0.5177944374865331,conv1,WT,NNSTD
94,0.7599929043157101,conv2,WT,NNSTD
94,0.94572783496885,dense1,WT,NNSTD
94,0.8456590911627085,dense2,WT,NNSTD
94,0.9571243542582598,dense3,WT,NNSTD
95,0.5611843668484293,conv1,WT,NNSTD
95,0.7548071438599685,conv2,WT,NNSTD
95,0.94541063830213945,dense1,WT,NNSTD
95,0.8449226149777684,dense2,WT,NNSTD
95,0.9590605028938445,dense3,WT,NNSTD
96,0.5288814930473937,conv1,WT,NNSTD
96,0.7595003901684431,conv2,WT,NNSTD
96,0.945748697939168,dense1,WT,NNSTD
96,0.8470588900684365,dense2,WT,NNSTD
96,0.9554109272240469,dense3,WT,NNSTD
97,0.5109102741111013,conv1,WT,NNSTD
97,0.7596682883742498,conv2,WT,NNSTD
97,0.9455681986959378,dense1,WT,NNSTD
97,0.8471935291900334,dense2,WT,NNSTD
97,0.9462319107141564,dense3,WT,NNSTD
98,0.5658978608197358,conv1,WT,NNSTD
98,0.7617964442256255,conv2,WT,NNSTD
98,0.9447114267847085,dense1,WT,NNSTD
98,0.8472984954623153,dense2,WT,NNSTD
98,0.9482476641969761,dense3,WT,NNSTD
99,0.5396764311056591,conv1,WT,NNSTD
99,0.7622441640666989,conv2,WT,NNSTD
99,0.9446291928918099,dense1,WT,NNSTD
99,0.8450910926023747,dense2,WT,NNSTD
99,0.9460431542343984,dense3,WT,NNSTD
100,0.5692069343034416,conv1,WT,NNSTD
100,0.7567597194921213,conv2,WT,NNSTD
100,0.9452909583308957,dense1,WT,NNSTD
100,0.8493527964732724,dense2,WT,NNSTD
100,0.9624837893991216,dense3,WT,NNSTD
101,0.5514343641260484,conv1,WT,NNSTD
101,0.7581574290691034,conv2,WT,NNSTD
101,0.9447850205982655,dense1,WT,NNSTD
101,0.8495368218001575,dense2,WT,NNSTD
101,0.9410382462708045,dense3,WT,NNSTD
102,0.5744153491202639,conv1,WT,NNSTD
102,0.7620018637722357,conv2,WT,NNSTD
102,0.945582184377906,dense1,WT,NNSTD
102,0.8476554295362906,dense2,WT,NNSTD
102,0.947618170652602,dense3,WT,NNSTD
103,0.5764901815912845,conv1,WT,NNSTD
103,0.7560292534387612,conv2,WT,NNSTD
103,0.945506061923115,dense1,WT,NNSTD
103,0.8440614927079669,dense2,WT,NNSTD
103,0.9524921530726086,dense3,WT,NNSTD
104,0.5286921156866009,conv1,WT,NNSTD
104,0.7631956348297431,conv2,WT,NNSTD
104,0.9455469415696155,dense1,WT,NNSTD
104,0.8483179238331726,dense2,WT,NNSTD
104,0.9500377846790891,dense3,WT,NNSTD
105,0.5547314710143658,conv1,WT,NNSTD
105,0.7624330798674737,conv2,WT,NNSTD
105,0.945979179779352,dense1,WT,NNSTD
105,0.8486460646175185,dense2,WT,NNSTD
105,0.9449762012521854,dense3,WT,NNSTD
106,0.5545481747113181,conv1,WT,NNSTD
106,0.7582129635293313,conv2,WT,NNSTD
106,0.945466871888589,dense1,WT,NNSTD
106,0.847328551507636,dense2,WT,NNSTD
106,0.9401562763602204,dense3,WT,NNSTD
107,0.5426997877020856,conv1,WT,NNSTD
107,0.760487137169919,conv2,WT,NNSTD
107,0.945280823886157,dense1,WT,NNSTD
107,0.8463549237921589,dense2,WT,NNSTD
107,0.9456799777979074,dense3,WT,NNSTD
108,0.5600337315870404,conv1,WT,NNSTD
108,0.7607866825953029,conv2,WT,NNSTD
108,0.9451651393964406,dense1,WT,NNSTD
108,0.8459223455746769,dense2,WT,NNSTD
108,0.9339687360204078,dense3,WT,NNSTD
109,0.5525224545674914,conv1,WT,NNSTD
109,0.7610769444873325,conv2,WT,NNSTD
109,0.9457408377540868,dense1,WT,NNSTD
109,0.847292696984858,dense2,WT,NNSTD
109,0.940177172314207,dense3,WT,NNSTD
110,0.5703608457514707,conv1,WT,NNSTD
110,0.7694197008382531,conv2,WT,NNSTD
110,0.9458826526161921,dense1,WT,NNSTD
110,0.8468548947021967,dense2,WT,NNSTD
110,0.940921219051176,dense3,WT,NNSTD
111,0.5604894365234439,conv1,WT,NNSTD
111,0.7600322524192631,conv2,WT,NNSTD
111,0.945294915653534,dense1,WT,NNSTD
111,0.8464087327219045,dense2,WT,NNSTD
111,0.9314511145135512,dense3,WT,NNSTD
112,0.530677334307849,conv1,WT,NNSTD
112,0.7625242586687981,conv2,WT,NNSTD
112,0.9461947241518361,dense1,WT,NNSTD
112,0.8471948983578748,dense2,WT,NNSTD
112,0.9542878207012893,dense3,WT,NNSTD
113,0.5528605789635201,conv1,WT,NNSTD
113,0.755206421244194,conv2,WT,NNSTD
113,0.9456072897812706,dense1,WT,NNSTD
113,0.8462691007024439,dense2,WT,NNSTD
113,0.9232399063313558,dense3,WT,NNSTD
114,0.5477762446397556,conv1,WT,NNSTD
114,0.7560392178413613,conv2,WT,NNSTD
114,0.9452901608755734,dense1,WT,NNSTD
114,0.8473187734185379,dense2,WT,NNSTD
114,0.9645528834156654,dense3,WT,NNSTD
115,0.5279056140958714,conv1,WT,NNSTD
115,0.761557166905627,conv2,WT,NNSTD
115,0.9446948430896271,dense1,WT,NNSTD
115,0.8471487581847308,dense2,WT,NNSTD
115,0.953428741766977,dense3,WT,NNSTD
116,0.560132542399014,conv1,WT,NNSTD
116,0.7630004134463997,conv2,WT,NNSTD
116,0.9455241002833622,dense1,WT,NNSTD
116,0.8467177165226052,dense2,WT,NNSTD
116,0.9606075775136421,dense3,WT,NNSTD
117,0.545796259755359,conv1,WT,NNSTD
117,0.7668260825217887,conv2,WT,NNSTD
117,0.9460763197672017,dense1,WT,NNSTD
117,0.8463761063877119,dense2,WT,NNSTD
117,0.9376320892362857,dense3,WT,NNSTD
118,0.4964272341328262,conv1,WT,NNSTD
118,0.7641263342774938,conv2,WT,NNSTD
118,0.9455730782953913,dense1,WT,NNSTD
118,0.8442278517566928,dense2,WT,NNSTD
118,0.9471652322945647,dense3,WT,NNSTD
119,0.5644796075366412,conv1,WT,NNSTD
119,0.7621459706696354,conv2,WT,NNSTD
119,0.9454593075226443,dense1,WT,NNSTD
119,0.8466596625617563,dense2,WT,NNSTD
119,0.9376516130565307,dense3,WT,NNSTD
120,0.5420262098099269,conv1,WT,NNSTD
120,0.7643687471532631,conv2,WT,NNSTD
120,0.9449865633572476,dense1,WT,NNSTD
120,0.8470425757649707,dense2,WT,NNSTD
120,0.9316876140674765,dense3,WT,NNSTD
121,0.5592054213147962,conv1,random,NNSTD
121,0.7710876780093642,conv2,random,NNSTD
121,0.944247554892967,dense1,random,NNSTD
